# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
     284 -0.11721665E+02 -0.83110651E+01  0.34105999E+01  0.34281905E+01
     285 -0.11721882E+02 -0.83111012E+01  0.34107804E+01  0.34281905E+01
     286 -0.11721997E+02 -0.83111309E+01  0.34108660E+01  0.34281905E+01
     287 -0.11722147E+02 -0.83111641E+01  0.34109830E+01  0.34281905E+01
     288 -0.11722264E+02 -0.83112006E+01  0.34110632E+01  0.34281905E+01
     289 -0.11722456E+02 -0.83112345E+01  0.34112220E+01  0.34281905E+01
     290 -0.11722669E+02 -0.83112907E+01  0.34113786E+01  0.34281905E+01
     291 -0.11722844E+02 -0.83113330E+01  0.34115105E+01  0.34281905E+01
     292 -0.11722998E+02 -0.83113786E+01  0.34116199E+01  0.34281905E+01
     293 -0.11723104E+02 -0.83114024E+01  0.34117017E+01  0.34281905E+01
     294 -0.11723225E+02 -0.83114278E+01  0.34117976E+01  0.34281905E+01
     295 -0.11723367E+02 -0.83114592E+01  0.34119074E+01  0.34281905E+01
     296 -0.11723470E+02 -0.83114900E+01  0.34119804E+01  0.34281905E+01
     297 -0.11723571E+02 -0.83115129E+01  0.34120583E+01  0.34281905E+01
     298 -0.11723680E+02 -0.83115364E+01  0.34121439E+01  0.34281905E+01
     299 -0.11723820E+02 -0.83115633E+01  0.34122568E+01  0.34281905E+01
     300 -0.11723904E+02 -0.83115831E+01  0.34123208E+01  0.34281905E+01
     301 -0.11723985E+02 -0.83116006E+01  0.34123842E+01  0.34281905E+01
     302 -0.11724114E+02 -0.83116273E+01  0.34124865E+01  0.34281905E+01
     303 -0.11724257E+02 -0.83116505E+01  0.34126068E+01  0.34281905E+01
     304 -0.11724394E+02 -0.83116814E+01  0.34127122E+01  0.34281905E+01
     305 -0.11724458E+02 -0.83116955E+01  0.34127627E+01  0.34281905E+01
     306 -0.11724585E+02 -0.83117158E+01  0.34128691E+01  0.34281905E+01
     307 -0.11724712E+02 -0.83117376E+01  0.34129749E+01  0.34281905E+01
     308 -0.11724780E+02 -0.83117517E+01  0.34130281E+01  0.34281905E+01
     309 -0.11724881E+02 -0.83117705E+01  0.34131110E+01  0.34281905E+01
     310 -0.11724935E+02 -0.83117822E+01  0.34131528E+01  0.34281905E+01
     311 -0.11725019E+02 -0.83117996E+01  0.34132194E+01  0.34281905E+01
     312 -0.11725101E+02 -0.83118183E+01  0.34132826E+01  0.34281905E+01
     313 -0.11725203E+02 -0.83118356E+01  0.34133669E+01  0.34281905E+01
     314 -0.11725263E+02 -0.83118448E+01  0.34134178E+01  0.34281905E+01
     315 -0.11725334E+02 -0.83118539E+01  0.34134798E+01  0.34281905E+01
     316 -0.11725381E+02 -0.83118637E+01  0.34135171E+01  0.34281905E+01
     317 -0.11725482E+02 -0.83118838E+01  0.34135982E+01  0.34281905E+01
     318 -0.11725595E+02 -0.83119038E+01  0.34136909E+01  0.34281905E+01
     319 -0.11725646E+02 -0.83119136E+01  0.34137322E+01  0.34281905E+01
     320 -0.11725709E+02 -0.83119278E+01  0.34137816E+01  0.34281905E+01
     321 -0.11725756E+02 -0.83119360E+01  0.34138204E+01  0.34281905E+01
     322 -0.11725832E+02 -0.83119495E+01  0.34138824E+01  0.34281905E+01
     323 -0.11725897E+02 -0.83119584E+01  0.34139388E+01  0.34281905E+01
     324 -0.11725944E+02 -0.83119664E+01  0.34139774E+01  0.34281905E+01
     325 -0.11726024E+02 -0.83119765E+01  0.34140476E+01  0.34281905E+01
